0,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.002,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,-0.0696,1
0.004,-1.67999430933856,-1.40179948319488,-1.81269479868753,-2.99370536976382,-0.885694325329778,-0.0696005505414344,1
0.006,-1.67998292807435,-1.40179844974862,-1.81268439593481,-2.99371610924753,-0.885682976048146,-0.0696016516288375,1
0.008,-1.67996585634824,-1.40179690005444,-1.81266879143591,-2.99373221834426,-0.885665952296302,-0.069603303274111,1
0.01,-1.67994309437152,-1.40179483470123,-1.81264798473368,-2.99375369688995,-0.885643254286149,-0.0696055054976582,1
0.012,-1.67991464242597,-1.40179225447364,-1.81262197521983,-2.99378054466339,-0.885614882300298,-0.069608258328385,1
0.014,-1.67988050086382,-1.40178916035198,-1.8125907621349,-2.99381276138614,-0.88558083669207,-0.0696115618037017,1
0.016,-1.67984067010776,-1.40178555351229,-1.81255434456836,-2.99385034672255,-0.885541117885499,-0.0696154159695254,1
0.018,-1.67979515065096,-1.40178143532628,-1.81251272145863,-2.99389330027965,-0.885495726375325,-0.069619820880284,1
0.02,-1.67974394305702,-1.40177680736132,-1.81246589159316,-2.99394162160714,-0.885444662726998,-0.06962477659892,1
0.022,-1.67968704796002,-1.40177167138047,-1.81241385360848,-2.99399531019733,-0.885387927576672,-0.0696302831968955,1
0.024,-1.67962446606449,-1.4017660293424,-1.81235660599028,-2.99405436548506,-0.885325521631201,-0.0696363407541979,1
0.026,-1.6795561981454,-1.40175988340143,-1.81229414707351,-2.99411878684764,-0.885257445668138,-0.0696429493593462,1
0.028,-1.67948224504816,-1.40175323590749,-1.81222647504243,-2.99418857360478,-0.885183700535729,-0.0696501091093978,1
0.03,-1.67940260768864,-1.40174608940608,-1.81215358793076,-2.9942637250185,-0.885104287152898,-0.0696578201099572,1
0.032,-1.67931728705311,-1.4017384466383,-1.81207548362175,-2.99434424029302,-0.885019206509252,-0.069666082475184,1
0.034,-1.67922628419827,-1.40173031054075,-1.81199215984829,-2.99443011857471,-0.884928459665066,-0.0696748963278022,1
0.036,-1.67912960029594,-1.40172168291984,-1.81190361680671,-2.9945213534366,-0.884832047907132,-0.0696842656190682,1
0.038,-1.67902723645406,-1.40171256975411,-1.81180984670269,-2.99461795493945,-0.884729972125187,-0.0696941828495228,1
0.04,-1.67891919398556,-1.40170297324174,-1.81171084943197,-2.99471991654008,-0.884622233747606,-0.0697046519870483,1
0.042,-1.67880547422854,-1.40169289710093,-1.81160662212754,-2.99482723715234,-0.884508834117068,-0.0697156731887516,1
0.044,-1.67868607859164,-1.40168234524558,-1.81149716177256,-2.99493991563153,-0.884389774647031,-0.0697272466203465,1
0.046,-1.67856100855383,-1.40167132178495,-1.8113824652007,-2.99505795077434,-0.884265056821551,-0.0697393724561828,1
0.048,-1.67843026566442,-1.40165983102361,-1.8112625290963,-2.99518134131874,-0.884134682195267,-0.0697520508792615,1
0.05,-1.67829385154305,-1.40164787746142,-1.81113734999454,-2.99531008594382,-0.883998652393387,-0.0697652820812499,1
0.052,-1.67815176787964,-1.40163546579348,-1.81100692428163,-2.99544418326961,-0.883856969111665,-0.0697790662624978,1
0.054,-1.67800401643438,-1.40162260091007,-1.81087124819502,-2.99558363185698,-0.883709634116394,-0.0697934036320539,1
0.056,-1.67785059903775,-1.40160928789665,-1.81073031782357,-2.99572843020741,-0.883556649244373,-0.0698082944076842,1
0.058,-1.67769151759043,-1.40159553203375,-1.81058412910777,-2.99587857676285,-0.883398016402899,-0.0698237388158895,1
0.06,-1.67752677406336,-1.40158133879699,-1.81043267783994,-2.99603406990554,-0.883233737569741,-0.0698397370919251,1
0.062,-1.67735637049765,-1.40156671385697,-1.81027595966449,-2.99619490795783,-0.883063814793122,-0.0698562894798202,1
0.064,-1.67718030900459,-1.40155166307925,-1.81011397007811,-2.99636108918195,-0.88288825019169,-0.0698733962323988,1
0.066,-1.67699859176562,-1.4015361925243,-1.80994670443001,-2.99653261177987,-0.882707045954498,-0.0698910576113011,1
0.068,-1.67681122103229,-1.40152030844741,-1.8097741579222,-2.99670947389305,-0.882520204340984,-0.0699092738870054,1
0.07,-1.67661819912627,-1.40150401729865,-1.8095963256097,-2.99689167360225,-0.882327727680941,-0.0699280453388507,1
0.072,-1.67641952880644,-1.40148731485582,-1.80941322376637,-2.99707916386105,-0.882129619652909,-0.0699474035347837,1
0.074,-1.67621521179758,-1.40147022968354,-1.80922480442919,-2.99727203275746,-0.881925880168322,-0.0699672862218548,1
0.076,-1.67600525100417,-1.40145275796247,-1.80903108357029,-2.99747023312395,-0.881716513051292,-0.0699877249764699,1
0.078,-1.67578964902512,-1.40143490691631,-1.80883205566246,-2.99767376279799,-0.881501520909937,-0.0700087201139323,1
0.08,-1.67556840853218,-1.40141668396809,-1.80862771502991,-2.99788261955349,-0.881280906425413,-0.0700302719582568,1
0.082,-1.67534153226699,-1.40139809673523,-1.80841805585154,-2.99809680110227,-0.881054672349061,-0.0700523808424723,1
0.084,-1.67510902304108,-1.40137915302944,-1.80820307216125,-2.99831630509384,-0.880822821502378,-0.0700750471086504,1
0.086,-1.67487088373585,-1.40135986085668,-1.80798275784823,-2.99854112911511,-0.880585356776979,-0.070098271107934,1
0.088,-1.67462711730252,-1.40134022841708,-1.80775710665733,-2.99877127069014,-0.880342281134566,-0.0701220532005676,1
0.09,-1.67437772717826,-1.40132025177924,-1.80752613637203,-2.99900667628918,-0.880093599055729,-0.0701464292053861,1
